created,screenName,text,polarity
2018-03-31 17:57,johnwoodymoore,"I'm at BB&amp;T - @askbbt in Pelion, SC https://t.co/2cyKmQvNqC",Neutral
2018-03-30 18:39,bitcoin_bettor,@askBBT hi someone sent me a Zelle Payment and I received the notification but don’t see it in my acct? Usually see… https://t.co/12NbsFqnpX,Neutral
2018-03-28 16:34,QuestInc_FL,"Shout out to our #WineQuest2018 sponsors @askBBT, @OUCreliableone and Robin's Nest. They have dibbs to bid on… https://t.co/Xm0MWUC8hj",Neutral
2018-03-27 22:25,gradt1216,RT @Give2Kids: Congrats @CollegeViewHS3 teacher Casey Polen for being chosen as @askBBT Teacher of the Month! https://t.co/4dVY3WktZz,Neutral
2018-03-26 18:41,Give2Kids,Congrats @CollegeViewHS3 teacher Casey Polen for being chosen as @askBBT Teacher of the Month! https://t.co/4dVY3WktZz,Neutral
2018-03-31 23:09,KHryvnak,"RT @LVPhantoms: The game also has a T-Shirt Giveaway to the 1st 6,500 fans in attendance thanks to @the99bottle, Adams Plumbing, @chickies_…",Negative
2018-03-31 20:20,triadheart,Make sure you RSVP to the Winston-Salem Heart Ball by April 6th! This will be an unforgettable night!… https://t.co/HorPh02TjD,Positive
2018-03-31 17:34,LVPhantoms,"The game also has a T-Shirt Giveaway to the 1st 6,500 fans in attendance thanks to @the99bottle, Adams Plumbing,… https://t.co/FZS839R0gK",Negative
2018-03-31 14:37,JimNYCFTL,"@BBT @thebbtcenter @FlaPanthers Why do you let this ""Hate"" group hold functions at your establishment? They're not… https://t.co/RGZ9MmVKEj",Neutral
2018-03-31 14:08,ScottnMissy1,@BBT i opened an account on the 14 of this month. In that time i have been unable to set up my online banking. Noth… https://t.co/EBTW4B7Luu,Negative
2018-03-31 1:04,mikewatts502,RT @BBT: Succession planning is crucial for sustaining family-owned businesses for generations to come. Do you have a plan in place? https:…,Neutral
2018-03-30 21:04,REI_Systems,RT @PSCSpeaks: Sending a warm welcome to the newest members of PSC! @ConsultArtemis @BBT @Beyond20 @CORTACGroup @ECODIT_LLC @INTEGRITY_ONE…,Positive
2018-03-30 21:02,RealMikeDrew,@BBT Can you do me a favor? I’m doing some research and figured a bank would know this answer. How many months are… https://t.co/2SbSJNWzGn,Neutral
2018-03-30 17:30,PSCSpeaks,Sending a warm welcome to the newest members of PSC! @ConsultArtemis @BBT @Beyond20 @CORTACGroup @ECODIT_LLC… https://t.co/VliNGzC9HI,Positive
2018-03-30 13:53,Nate_G_B,Seems impossible to talk to a human being at BB&amp;T unless you want to open a account. No service for existing account holders.  @BBT,Neutral
2018-03-30 13:18,em77511,@BBT thank you,Neutral
2018-03-30 13:11,em77511,@BBT I guess you're open today?,Positive
2018-03-30 13:08,PeteMcCole,"Hey @BBT 
Friday morning ...
Two days before a holiday....
ONE TELLER ON DUTY.... https://t.co/FqREtWwDG4",Neutral
2018-03-30 13:04,CardozaJosh,@BBT AGAIN with the system screwed up?! Really?!,Neutral
2018-03-30 11:59,SBDCatUNF,RT @DocCLR: @SBDCatUNF @JaxBizJournal @JBJEvents @PS27Ventures @BBT @sightsoundav @FLBlue Great event and great support from the small busi…,Positive
2018-03-30 10:10,_pyoneer,@BBT about to write the worse Google review in the world,Negative
2018-03-30 9:01,_pyoneer,@WellsFargo is 24 hours 7 days a week definitely switching over today @BBT y'all cause to many problems,Negative
2018-03-30 8:44,_pyoneer,Banking should be a 24/7 service @BBT I really hate y'all,Neutral
2018-03-30 8:40,_pyoneer,@BBT there's a mistake on my account man and y'all can't come to the phone right now very inconvenient,Negative
2018-03-30 3:53,sightsoundav,RT @SBDCatUNF: Great panel at the @JaxBizJournal @JBJEvents African-American #SmallBusiness Forum! @PS27Ventures @DocCLR @BBT @sightsoundav…,Neutral
2018-03-30 1:29,ZachKrantz,RT @Uturnlaverne: Having some fun at the @BBT center  for @DisneyOnIce and look at the stud we ran into...Uncle  @ZachKrantz and the kids h…,Positive
2018-03-30 0:50,DocCLR,@SBDCatUNF @JaxBizJournal @JBJEvents @PS27Ventures @BBT @sightsoundav @FLBlue Great event and great support from th… https://t.co/rGJUfywyGO,Positive
2018-03-30 0:21,SBDCatUNF,Great panel at the @JaxBizJournal @JBJEvents African-American #SmallBusiness Forum! @PS27Ventures @DocCLR @BBT… https://t.co/BVnMOJEsw7,Neutral
2018-03-29 23:54,Uturnlaverne,Having some fun at the @BBT center  for @DisneyOnIce and look at the stud we ran into...Uncle  @ZachKrantz and the… https://t.co/XAVIwafxy5,Positive
2018-03-29 22:56,LuckyCatCollab,@BBT No coin counter at Cumberland Main Branch for account holders? That's a customer service fail. I had to go to… https://t.co/CXZELflEMO,Neutral
2018-03-29 22:08,TAPSorg,@InfoGRSi @busygirlmarie @WorthingtonGolf @PSAFinancial @Acme_PG @BBT Should be another terrific day of golf and ho… https://t.co/H66Jtla34j,Positive
2018-03-29 22:05,TAPSorg,"RT @InfoGRSi: Join GRSi in supporting @TAPSorg at our 9th Annual Charity Golf Event @WorthingtonGolf on May 24. 
Special thanks to our Eagl…",Neutral
2018-03-29 19:39,PCPSMaxhelp,@BBT How about this: An Actual Customer Service Phone number that connects with a human being?,Neutral
2018-03-29 15:34,InfoGRSi,"Join GRSi in supporting @TAPSorg at our 9th Annual Charity Golf Event @WorthingtonGolf on May 24. 
Special thanks t… https://t.co/WCfpMONFRZ",Neutral
2018-03-29 13:17,triadheart,Join us in Wonderland for the Winston-Salem Heart Ball! #WSNC #WSHeartBall @NovantHealth @BBT @wakehealth https://t.co/po8KujlFLN,Neutral
2018-03-29 8:24,11FSPulse,"New, slick journeys from @Wealthsimple @n26 and @BBT coming to #11Pulse this week!
https://t.co/GDTTGVo7A3",Neutral
2018-03-28 23:29,HenryYarboroug5,@BBT  had question need get hold of prepaid customer service not received my prepaid card in three weeks just order… https://t.co/2dJzaB01AJ,Neutral
2018-03-28 22:48,PCPSMaxhelp,@BBT 908-619-7242 Thank you!,Neutral
2018-03-28 22:31,JordanCrews_,Man it would be nice to be able to access money from my bank account @BBT !!!! #sendmycardalready,Positive
2018-03-28 21:32,achuck10,"RT @slpng_giants: These banks just threw a lifeline to bankrupted gunmaker Remington:
@BankofAmerica 
@WellsFargo 
@jpmorgan 
@DeutscheBank…",Positive
2018-03-28 20:57,MarvinDJones,@KenzieRjones_ @BBT This ordeal has been horrific just trying to deal with them for a copy of the paper work. You a… https://t.co/o3xmIFzfYK,Neutral
2018-03-28 19:09,biancadottin,@BBT Will do now. Thanks,Neutral
2018-03-28 18:51,biancadottin,@BBT what do I need to do to close my non-profit checking account? I just opened it 2 days ago and have gotten noth… https://t.co/rI41hn2xvY,Negative
2018-03-28 17:35,KenzieRjones_,@BBT For over an hour I keep getting tossed from department to department. Need a copy of my title for the DMV( req… https://t.co/XsAuB1Lz0K,Neutral
2018-03-28 17:30,KenzieRjones_,Okay @BBT is the WORST company ever. NEVER getting my car financed through them ever again,Neutral
2018-03-28 16:59,berniedecat,@jpmorgan &amp; @BBT I am a customer and this is horrifying! https://t.co/4kvnoADBos,Neutral
2018-03-28 16:26,therosegawden,"I know I say this like once a week now but fuck @bbt as a bank, record label and as a crew tbh",Neutral
2018-03-28 14:17,BrookeBeWell,"RT @MarisaKabas: A great reminder for me to complete the process of leaving @BankofAmerica, since it actively funds gun companies. 

Other…",Positive
2018-03-28 13:05,EastNCtruth,@TheMindOfBA @BBT Fair enough...but they are terrible,Negative
2018-03-28 13:03,TheMindOfBA,@EastNCtruth @BBT At the time it was because a former employer also banked there. We didn’t trust them to have the… https://t.co/IeTC4846Jr,Positive
2018-03-28 12:53,EastNCtruth,@TheMindOfBA @BBT Why would you ever deal with such a terrible bank?,Neutral
2018-03-28 1:00,theBEESknow,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird Isn’t… https://t.co/RrfES1df0m,Neutral
2018-03-28 0:37,DigitalFuckery,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird Capitalistic… https://t.co/Zo66718YvT,Neutral
2018-03-28 0:31,HollyCB2112,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird… https://t.co/b2cnbaz0Tz,Neutral
2018-03-28 0:30,LBmarkella,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird Good to know… https://t.co/cp3EpVdKHI,Neutral
2018-03-28 0:26,3starcircus,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird Ugh! It is g… https://t.co/K1lts42IcN,Neutral
